Plant number,Light Level (lux),Mowing height (cm),Soil Moisture,Surface Temperature (C)
1,984,3.75,10,39.75
2,715.25,5,10,38.5
3,841,7.75,10,37
4,615.5,6,10,31.5
5,307.5,5.5,10,14.41666667
6,634.5,1.95,3.35,35.15
7,503.06,3.85,3.5,28.95
8,738.15,10.15,6.75,25.71
9,321,3.925,4.65,25.2675
10,575.25,5.0875,3.625,19.5025
11,327.5,5.375,9,15.425
12,265,5.375,10,14.725
13,322.5,5.75,9.25,15.8
14,287.5,6.125,10,16.575
15,410,4.75,9.5,21.5
16,456,10.2,6.2,28.05555556
17,640,16,5,12.27777778
18,649,15.4,6,24.44444444
19,749,6,6,28.94444444
20,962,9,10,33.88888889
21,279,11.5,10,22.94444444
22,595,9,10,23.33333333
23,303,9,10,19.77777778
24,300,9,10,30.38888889
25,305,10,10,20.55555556
26,635,24,5,28.5
27,145,34,4,16.11111111
28,329,30,3,23.16666667
29,375,4.3,0,19.7
30,825,9,8.75,31.94444444
31,24.25,3.5,9.25,17.22222222
32,927.5,9.5,10,26.38888889
33,569.75,7.5,8.5,21.98333333
34,34.75,9.5,10,36.25
35,694.5,6.8,1.3,33.1
